Wall time,Step,Value
1720814376.4822578,1577000,53682.89453125
1720814518.948631,1584000,54220.34765625
1720814539.2601368,1585000,53850.0078125
1720814650.5488708,1590000,52892.55078125
1720816300.816422,1595000,53289.54296875
1720816468.3476338,1604000,54711.93359375
1720816487.019658,1605000,54812.16796875
1720816563.086205,1609000,54929.51953125
1720816657.698752,1614000,55166.07421875
1720816714.179641,1617000,55698.45703125
1720816809.481899,1622000,56503.60546875
1720816867.0179179,1625000,56307.49609375
1720816944.9599879,1629000,56864.109375
1720817101.058298,1637000,56553.37109375
1720817261.281545,1645000,57705.796875
1720817394.896134,1652000,56858.26171875
1720817530.340249,1659000,57775.2890625
1720817698.85787,1668000,56984.16796875
1720817772.957588,1672000,56993.60546875
1720817790.976205,1673000,57130.46875
1720817809.6042671,1674000,57257.2421875
1720817846.989237,1676000,57512.26953125
1720819189.9153259,1673000,57377.55859375
1720819306.497251,1680000,57618.68359375
1720819454.832017,1689000,57991.16796875
1720819619.6378949,1699000,57478.70703125
1720819686.709161,1703000,56945.59375
1720819721.5836768,1705000,57087.73828125
1720819774.291347,1708000,56354.0078125
1720819859.009002,1713000,56768.046875
1720819909.5310452,1716000,57008.0390625
1720819926.1150541,1717000,57089.125
1720819942.8558059,1718000,57153.40625
1720820029.2019358,1723000,56576.95703125
1720820277.0811431,1737000,56150.19140625
1720820446.355495,1746000,56364.23046875
1720820558.04109,1752000,56244.0859375
1720820687.440188,1759000,56159.984375
1720820705.593847,1760000,56247.12109375
1720820875.883397,1769000,56284.62109375
1720821010.056651,1776000,55927.6328125
1720821235.0266619,1788000,55230.4453125
1720821403.5229151,1797000,55431.4609375
1720821478.793165,1801000,56507.39453125
1720821671.420295,1811000,54393.58203125
1720821755.100773,1815000,54420.375
1720821855.78075,1820000,55317.484375
1720821932.356352,1824000,55191.5234375
1720822178.194895,1837000,54797.015625
1720822236.0120902,1840000,54737.8046875
1720822351.7019079,1846000,54797.421875
1720822370.856531,1847000,54793.3671875
1720822389.870659,1848000,54798.67578125
1720823034.836142,1882000,53200.38671875
1720823149.032651,1888000,53268.98046875
1720823283.181312,1895000,54340.78125
1720823397.532819,1901000,54354.88671875
1720823478.8008718,1905000,55227.68359375
1720823521.217864,1907000,55730.8203125
1720823562.74797,1909000,55717.72265625
1720823681.277924,1915000,54873.25
1720823740.8816571,1918000,55228.7421875
1720823782.50254,1920000,55234.0390625
1720823845.467007,1923000,56101.296875
1720824146.053061,1938000,55628.3515625
1720824187.0088582,1940000,55662.2734375
1720824434.696146,1952000,58117.375
1720824455.4971251,1953000,58135.53125
1720824475.7158358,1954000,58120.484375
1720824764.255483,1968000,56863.50390625
1720824848.509449,1972000,55494.046875
1720824932.703855,1976000,55201.48828125
1720825103.785802,1984000,55295.07421875
1720826342.868268,1988000,55627.5703125
1720860491.274225,1996000,54825.6796875
1720860525.275327,1998000,55199.23046875
1720860575.576427,2001000,54160.140625
1720860627.1573372,2004000,54418.98046875
1720860680.014451,2007000,53019.26953125
1720860769.54844,2012000,53232.890625
1720861102.401952,2031000,54390.64453125
1720861314.537174,2043000,54137.05078125
1720861333.362974,2044000,54339.4140625
1720861385.731501,2047000,54555.16796875
1720861402.7885818,2048000,54628.59375
1720861437.710937,2050000,54834.34375
1720861472.386409,2052000,55021.58203125
1720861551.5003352,2056000,55521.21484375
1720861630.814999,2060000,55264.26171875
1720861729.850581,2065000,54909.58203125
1720861769.592012,2067000,55071.65234375
1720862069.96097,2082000,56259.10546875
1720862149.688592,2086000,56256.35546875
1720862290.3774521,2093000,57203.94921875
1720862310.168376,2094000,57186.05859375
1720862669.853366,2112000,57810.0546875
1720862731.890733,2115000,57657.94140625
1720862751.61447,2116000,57639.046875
1720862831.55383,2120000,57605.9296875
1720862871.484918,2122000,58548.56640625
1720862972.487775,2127000,58537.4375
1720863153.4950678,2136000,58639.85546875
1720863232.733217,2140000,57521.6328125
1720863273.694174,2142000,56591.08203125
